Nominal replay operation report (dimensions are integer micrometres).
maple-1-separate [cut]: inputs=maple-1; outputs=maple-1-window,maple-1-reserve; input_size_um=[108000, 419000, 33000]; output_sizes_um={'maple-1-window': [108000, 316000, 33000], 'maple-1-reserve': [108000, 100000, 33000]}; axis=1; retained_um=316000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=other_offcuts; retained_side=min
maple-1-end-min [cut]: inputs=maple-1-window; outputs=maple-1-end-min-blank,maple-1-end-min-offcut; input_size_um=[108000, 316000, 33000]; output_sizes_um={'maple-1-end-min-blank': [108000, 308000, 33000], 'maple-1-end-min-offcut': [108000, 5000, 33000]}; axis=1; retained_um=308000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=max
maple-1-end-max [cut]: inputs=maple-1-end-min-blank; outputs=maple-1-blank,maple-1-end-max-offcut; input_size_um=[108000, 308000, 33000]; output_sizes_um={'maple-1-blank': [108000, 300000, 33000], 'maple-1-end-max-offcut': [108000, 5000, 33000]}; axis=1; retained_um=300000; kerf_um=3000; kerf_volume_um3=10692000000000; tool=saw; category=trim; retained_side=min
maple-1-z-min [surface]: inputs=maple-1-blank; outputs=maple-1-z-min,maple-1-z-min-milling; input_size_um=[108000, 300000, 33000]; output_sizes_um={'maple-1-z-min': [108000, 300000, 30000], 'maple-1-z-min-milling': [108000, 300000, 3000]}; axis=2; side=min; amount_um=3000; category=milling; process=thickness_planer
maple-1-z-max [surface]: inputs=maple-1-z-min; outputs=maple-1-z-max,maple-1-z-max-milling; input_size_um=[108000, 300000, 30000]; output_sizes_um={'maple-1-z-max': [108000, 300000, 27000], 'maple-1-z-max-milling': [108000, 300000, 3000]}; axis=2; side=max; amount_um=3000; category=milling; process=thickness_planer
maple-1-x-min [surface]: inputs=maple-1-z-max; outputs=maple-1-x-min,maple-1-x-min-milling; input_size_um=[108000, 300000, 27000]; output_sizes_um={'maple-1-x-min': [107000, 300000, 27000], 'maple-1-x-min-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-1-x-max [surface]: inputs=maple-1-x-min; outputs=maple-1-x-max,maple-1-x-max-milling; input_size_um=[107000, 300000, 27000]; output_sizes_um={'maple-1-x-max': [106000, 300000, 27000], 'maple-1-x-max-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-1-rip [cut]: inputs=maple-1-x-max; outputs=maple-1-a-pre,maple-1-a-rem; input_size_um=[106000, 300000, 27000]; output_sizes_um={'maple-1-a-pre': [51000, 300000, 27000], 'maple-1-a-rem': [52000, 300000, 27000]}; axis=0; retained_um=51000; kerf_um=3000; kerf_volume_um3=24300000000000; tool=saw; category=other_offcuts; retained_side=min
maple-1-a-joint [surface]: inputs=maple-1-a-pre; outputs=maple-1-a50,maple-1-a-joint-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-1-a50': [50000, 300000, 27000], 'maple-1-a-joint-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
maple-1-rem-joint [surface]: inputs=maple-1-a-rem; outputs=maple-1-rem-new,maple-1-rem-joint-milling; input_size_um=[52000, 300000, 27000]; output_sizes_um={'maple-1-rem-new': [51000, 300000, 27000], 'maple-1-rem-joint-milling': [1000, 300000, 27000]}; axis=0; side=min; amount_um=1000; category=milling; process=jointer
maple-1-rem-edge [surface]: inputs=maple-1-rem-new; outputs=maple-1-b50,maple-1-rem-edge-milling; input_size_um=[51000, 300000, 27000]; output_sizes_um={'maple-1-b50': [50000, 300000, 27000], 'maple-1-rem-edge-milling': [1000, 300000, 27000]}; axis=0; side=max; amount_um=1000; category=milling; process=jointer
