operation,kind,inputs,outputs,input_dimensions_um,output_dimensions_um,settings_json
maple-1-separate,cut,maple-1,maple-1-window;maple-1-reserve,"[108000, 419000, 33000]","{""maple-1-reserve"": [108000, 21000, 33000], ""maple-1-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-1-end-min,cut,maple-1-window,maple-1-end1;maple-1-end-min-off,"[108000, 395000, 33000]","{""maple-1-end-min-off"": [108000, 8000, 33000], ""maple-1-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-1-end-max,cut,maple-1-end1,maple-1-blank;maple-1-end-max-off,"[108000, 384000, 33000]","{""maple-1-blank"": [108000, 370000, 33000], ""maple-1-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-1-zmin,surface,maple-1-blank,maple-1-z1;maple-1-zmin-loss,"[108000, 370000, 33000]","{""maple-1-z1"": [108000, 370000, 30000], ""maple-1-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-1-zmax,surface,maple-1-z1,maple-1-z2;maple-1-zmax-loss,"[108000, 370000, 30000]","{""maple-1-z2"": [108000, 370000, 27000], ""maple-1-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-1-xmin,surface,maple-1-z2,maple-1-x1;maple-1-xmin-loss,"[108000, 370000, 27000]","{""maple-1-x1"": [107000, 370000, 27000], ""maple-1-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-1-xmax,surface,maple-1-x1,maple-1-x2;maple-1-xmax-loss,"[107000, 370000, 27000]","{""maple-1-x2"": [106000, 370000, 27000], ""maple-1-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-1-rip,cut,maple-1-x2,maple-1-pre;maple-1-rip-off,"[106000, 370000, 27000]","{""maple-1-pre"": [26000, 370000, 27000], ""maple-1-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-1-joint,surface,maple-1-pre,panel-1-strip-0;maple-1-joint-loss,"[26000, 370000, 27000]","{""maple-1-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-0"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-2-separate,cut,maple-2,maple-2-window;maple-2-reserve,"[108000, 419000, 33000]","{""maple-2-reserve"": [108000, 21000, 33000], ""maple-2-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-2-end-min,cut,maple-2-window,maple-2-end1;maple-2-end-min-off,"[108000, 395000, 33000]","{""maple-2-end-min-off"": [108000, 8000, 33000], ""maple-2-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-2-end-max,cut,maple-2-end1,maple-2-blank;maple-2-end-max-off,"[108000, 384000, 33000]","{""maple-2-blank"": [108000, 370000, 33000], ""maple-2-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-2-zmin,surface,maple-2-blank,maple-2-z1;maple-2-zmin-loss,"[108000, 370000, 33000]","{""maple-2-z1"": [108000, 370000, 30000], ""maple-2-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-2-zmax,surface,maple-2-z1,maple-2-z2;maple-2-zmax-loss,"[108000, 370000, 30000]","{""maple-2-z2"": [108000, 370000, 27000], ""maple-2-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-2-xmin,surface,maple-2-z2,maple-2-x1;maple-2-xmin-loss,"[108000, 370000, 27000]","{""maple-2-x1"": [107000, 370000, 27000], ""maple-2-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-2-xmax,surface,maple-2-x1,maple-2-x2;maple-2-xmax-loss,"[107000, 370000, 27000]","{""maple-2-x2"": [106000, 370000, 27000], ""maple-2-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-2-rip,cut,maple-2-x2,maple-2-pre;maple-2-rip-off,"[106000, 370000, 27000]","{""maple-2-pre"": [26000, 370000, 27000], ""maple-2-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-2-joint,surface,maple-2-pre,panel-1-strip-1;maple-2-joint-loss,"[26000, 370000, 27000]","{""maple-2-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-1"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-3-separate,cut,maple-3,maple-3-window;maple-3-reserve,"[108000, 419000, 33000]","{""maple-3-reserve"": [108000, 21000, 33000], ""maple-3-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-3-end-min,cut,maple-3-window,maple-3-end1;maple-3-end-min-off,"[108000, 395000, 33000]","{""maple-3-end-min-off"": [108000, 8000, 33000], ""maple-3-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-3-end-max,cut,maple-3-end1,maple-3-blank;maple-3-end-max-off,"[108000, 384000, 33000]","{""maple-3-blank"": [108000, 370000, 33000], ""maple-3-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
